_id,id,name_en,name_fa,flag,fifa_code,iso2,groups,__v
698715d47f2bf926c1b29806,38,Algeria,الجزایر,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/125px-Flag_of_Algeria.svg.png,ALG,DZ,J,0
698715d47f2bf926c1b29808,39,Austria,اتریش,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/125px-Flag_of_Austria.svg.png,AUT,AT,J,0
698715d47f2bf926c1b2980a,40,Jordan,اردن,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/125px-Flag_of_Jordan.svg.png,JOR,JO,J,0
698715d47f2bf926c1b2980c,41,Portugal,پرتغال,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/125px-Flag_of_Portugal.svg.png,POR,PT,K,0
698715d47f2bf926c1b2980e,42,IC Path 1 Winner,برنده مسیر 1 بین‌قاره‌ای,,TBD,TBD,K,0
698715d47f2bf926c1b29810,43,Uzbekistan,ازبکستان,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/125px-Flag_of_Uzbekistan.svg.png,UZB,UZ,K,0
698715d47f2bf926c1b29812,44,Colombia,کلمبیا,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/125px-Flag_of_Colombia.svg.png,COL,CO,K,0
698715d47f2bf926c1b29814,45,England,انگلستان,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Flag_of_England.svg/125px-Flag_of_England.svg.png,ENG,ENG,L,0
698715d47f2bf926c1b29816,46,Croatia,کرواسی,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/125px-Flag_of_Croatia.svg.png,CRO,HR,L,0
698715d47f2bf926c1b29818,47,Ghana,غنا,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/125px-Flag_of_Ghana.svg.png,GHA,GH,L,0
698715d47f2bf926c1b2981a,48,Panama,پاناما,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/125px-Flag_of_Panama.svg.png,PAN,PA,L,0
